"lockdown_duration","c_star_multiplier","loss_base","loss_diim","loss_pca","reduction_diim","reduction_pca","pca_wins","overlap"
45,1.6,34723.5799250062,34658.1187712131,34658.0891820421,65.4611537930396,65.4907429640589,TRUE,4
45,1.8,38874.7553038999,38809.2941501068,38809.2645609358,65.4611537930396,65.490742964088,TRUE,4
45,2,43025.9306827936,42960.4695290005,42960.4399398295,65.4611537930978,65.4907429640807,TRUE,4
50,0,1514.17689385658,1435.34336516552,1448.68615089254,78.8335286910649,65.4907429640418,FALSE,4
50,0.2,6135.27726464756,6069.81611085451,6069.78652168351,65.4611537930477,65.4907429640452,TRUE,4
50,0.4,10756.3776354385,10690.9164816455,10690.8868924745,65.4611537930577,65.4907429640498,TRUE,4
50,0.6,15377.4780062295,15312.0168524365,15311.9872632655,65.4611537930414,65.4907429640334,TRUE,4
50,0.8,19998.5783770205,19933.1172232274,19933.0876340564,65.4611537930432,65.4907429640552,TRUE,4
50,1,24619.6787478115,24554.2175940184,24554.1880048474,65.4611537930468,65.4907429640443,TRUE,4
50,1.2,29240.7791186024,29175.3179648094,29175.2883756384,65.4611537930541,65.4907429640225,TRUE,4
50,1.4,33861.8794893934,33796.4183356003,33796.3887464294,65.4611537930468,65.490742964037,TRUE,4
50,1.6,38482.9798601844,38417.5187063913,38417.4891172203,65.4611537930541,65.4907429640589,TRUE,4
50,1.8,43104.0802309753,43038.6190771823,43038.5894880113,65.4611537930177,65.4907429640152,TRUE,4
50,2,47725.1806017663,47659.7194479732,47659.6898588023,65.4611537930905,65.4907429640589,TRUE,4
55,0,1514.17689385658,1435.34336516552,1448.68615089254,78.8335286910649,65.4907429640418,FALSE,4
55,0.2,6604.8022077951,6539.34105400206,6539.31146483106,65.4611537930459,65.4907429640389,TRUE,4
55,0.4,11695.4275217336,11629.9663679406,11629.9367787696,65.461153793045,65.4907429640425,TRUE,4
55,0.6,16786.0528356721,16720.5916818791,16720.5620927081,65.4611537930432,65.4907429640261,TRUE,4
55,0.8,21876.6781496107,21811.2169958176,21811.1874066466,65.4611537930759,65.4907429640625,TRUE,4
55,1,26967.3034635492,26901.8423097561,26901.8127205851,65.4611537930723,65.4907429640625,TRUE,4
55,1.2,32057.9287774877,31992.4676236947,31992.4380345237,65.4611537930541,65.4907429640443,TRUE,4
