"target_share","actual_share","pca_wins","pca_advantage"
0.13,0.13,FALSE,-9.19658299761068
0.13,0.13,FALSE,-43.9587849808377
0.13,0.13,TRUE,3.27619120412055
0.13,0.13,FALSE,-2.8116111469426
0.13,0.13,FALSE,-8.82066695780668
0.13,0.13,FALSE,-12.6954238026046
0.13,0.13,FALSE,-3.60758573349449
0.13,0.13,TRUE,4.14133328803655
0.13,0.13,FALSE,-18.1209116268874
0.13,0.13,FALSE,-27.7551011373507
0.13,0.13,TRUE,5.59161585764741
0.13,0.13,FALSE,-31.3937471645404
0.13,0.13,FALSE,-7.04242438218353
0.13,0.13,FALSE,-41.0687932562105
0.13,0.13,FALSE,-7.56171856283981
0.13,0.13,FALSE,-4.18343493696739
0.13,0.13,FALSE,-12.9048168964655
0.13,0.13,FALSE,-12.9908500790771
0.13,0.13,FALSE,-35.0417536434506
0.13,0.13,FALSE,-5.38640818480053
0.13,0.13,TRUE,0.0245403521694243
0.13,0.13,FALSE,-14.648885393508
0.13,0.13,FALSE,-3.2315371074219
0.13,0.13,TRUE,3.64094221593041
0.13,0.13,FALSE,-1.81632864887069
0.13,0.13,FALSE,-6.76195081425976
0.13,0.13,FALSE,-16.4160818809578
0.13,0.13,TRUE,7.37879105580578
0.14,0.14,FALSE,-25.3866944983492
0.14,0.14,FALSE,-6.5400884690207
0.14,0.14,FALSE,-5.76076031805496
0.14,0.14,FALSE,-16.9182206768819
0.14,0.14,TRUE,3.1849102997403
0.14,0.14,FALSE,-10.9076437595395
0.14,0.14,FALSE,-8.26788188021601
0.14,0.14,FALSE,-32.7295792633377
0.14,0.14,FALSE,-2.59317671487952
0.14,0.14,TRUE,3.65835012169555
0.14,0.14,FALSE,-12.1968571052712
0.14,0.14,FALSE,-22.1358716687209
0.14,0.14,FALSE,-23.6136147684338
0.14,0.14,FALSE,-5.63719614332513
0.14,0.14,FALSE,-27.2498973261791
0.14,0.14,TRUE,5.76508786346312
0.14,0.14,FALSE,-8.88255945089259
0.14,0.14,TRUE,4.16573878621421
0.14,0.14,FALSE,-32.7990232718475
0.14,0.14,FALSE,-22.3342987999022
0.14,0.14,FALSE,-18.572849426615
0.14,0.14,FALSE,-6.1072503246869
0.14,0.14,FALSE,-6.77159764748285
0.14,0.14,FALSE,-39.9422455772619
0.14,0.14,FALSE,-28.3471938667499
0.14,0.14,FALSE,-28.1135856874171
0.14,0.14,FALSE,-26.3400045230337
0.14,0.14,FALSE,-31.6729986274731
0.14,0.14,FALSE,-1.67457110207397
0.14,0.14,FALSE,-13.3937272847288
0.14,0.14,FALSE,-16.4127696770483
0.14,0.14,FALSE,-24.3742713516331
0.14,0.14,FALSE,-12.9372472348659
0.14,0.14,TRUE,3.34774962563097
0.14,0.14,FALSE,-13.6526669235536
0.14,0.14,FALSE,-24.1874604889199
0.14,0.14,FALSE,-17.1667863078656
0.14,0.14,FALSE,-23.3035332166874
0.14,0.14,FALSE,-22.028989762377
0.14,0.14,FALSE,-23.6358120053737
0.14,0.14,FALSE,-22.179736921782
0.14,0.14,FALSE,-15.5342564856692
0.14,0.14,FALSE,-9.8464270905024
0.14,0.14,FALSE,-4.33632581054189
0.14,0.14,TRUE,16.4722618323322
0.14,0.14,TRUE,4.48215053247623
0.14,0.14,FALSE,-11.2212433678578
0.14,0.14,FALSE,-3.34833138036993
0.14,0.14,FALSE,-17.7095189816246
0.14,0.14,FALSE,-1.26987770902633
0.15,0.15,FALSE,-2.95162172449272
0.15,0.15,TRUE,8.21246348403292
0.15,0.15,TRUE,4.41700889871208
0.15,0.15,FALSE,-16.2543665587873
0.15,0.15,FALSE,-28.0325191794655
0.15,0.15,FALSE,-0.36429896363552
0.15,0.15,FALSE,-13.9752784442317
0.15,0.15,TRUE,4.24360293313293
0.15,0.15,FALSE,-11.1260960552172
0.15,0.15,FALSE,-17.1138971282853
0.15,0.15,FALSE,-10.4670742113522
0.15,0.15,FALSE,-7.96130216271558
0.15,0.15,FALSE,-25.5795065515631
0.15,0.15,FALSE,-12.7041997823944
0.15,0.15,FALSE,-24.8765880395695
0.15,0.15,FALSE,-15.7559301453402
0.15,0.15,FALSE,-6.55633441210739
0.15,0.15,FALSE,-16.5717673216277
0.15,0.15,FALSE,-0.553811948393559
0.15,0.15,FALSE,-32.5634508621188
0.15,0.15,FALSE,-0.8026096151807
0.15,0.15,FALSE,-4.53176307805916
0.15,0.15,FALSE,-18.6250105370418
0.15,0.15,FALSE,-28.4571211396978
0.15,0.15,FALSE,-12.245039016394
0.15,0.15,FALSE,-1.17580801780787
0.15,0.15,FALSE,-1.59227268300674
0.15,0.15,TRUE,3.53627226729805
0.15,0.15,FALSE,-5.6319636486478
0.15,0.15,FALSE,-21.5727146172831
0.15,0.15,FALSE,-22.124365183623
0.15,0.15,FALSE,-4.63225923777645
0.15,0.15,FALSE,-15.8992266236346
0.15,0.15,FALSE,-4.05619238603322
0.15,0.15,FALSE,-29.0024758328764
0.15,0.15,FALSE,-7.38371549773728
0.15,0.15,FALSE,-11.5961985725298
0.15,0.15,FALSE,-19.0291108621277
0.15,0.15,FALSE,-39.4649123004056
0.15,0.15,FALSE,-31.178143876652
0.15,0.15,FALSE,-4.91081738043795
0.15,0.15,FALSE,-14.5825725368268
0.15,0.15,FALSE,-8.82003052069194
0.15,0.15,FALSE,-34.3564593565316
0.15,0.15,FALSE,-0.251907123987621
0.15,0.15,FALSE,-10.5899851745889
0.15,0.15,FALSE,-32.6140597678896
0.15,0.15,TRUE,6.00282057849108
0.15,0.15,FALSE,-9.94060009964596
0.15,0.15,TRUE,4.14554003229568
0.16,0.16,FALSE,-26.7349448397617
0.16,0.16,FALSE,-33.3701546963894
0.16,0.16,FALSE,-6.98462366792228
0.16,0.16,FALSE,-32.7248074192867
0.16,0.16,FALSE,-4.42517850466538
0.16,0.16,FALSE,-20.1310954652508
0.16,0.16,FALSE,-2.07353324907308
0.16,0.16,FALSE,-1.02961314901404
0.16,0.16,FALSE,-4.63684276886124
0.16,0.16,FALSE,-17.1929060968832
0.16,0.16,FALSE,-27.0054079883266
0.16,0.16,FALSE,-25.0136923343598
0.16,0.16,FALSE,-14.8530852251934
0.16,0.16,FALSE,-12.0022314065827
0.16,0.16,TRUE,0.890019560763903
0.16,0.16,FALSE,-25.2652125987079
0.16,0.16,FALSE,-13.3078505310732
0.16,0.16,TRUE,5.16330453054616
0.16,0.16,FALSE,-12.5307743190897
0.16,0.16,TRUE,4.42133165560153
0.16,0.16,FALSE,-26.4823629772036
0.16,0.16,FALSE,-14.5543651897242
0.16,0.16,FALSE,-49.1950661340707
0.16,0.16,FALSE,-19.732161165568
0.16,0.16,TRUE,8.08198124131013
0.16,0.16,FALSE,-1.44888657197225
0.16,0.16,FALSE,-2.74502275391205
0.16,0.16,FALSE,-3.40322159663265
0.16,0.16,FALSE,-9.34060831610259
0.16,0.16,FALSE,-6.75292754470502
0.16,0.16,FALSE,-12.290281797319
0.16,0.16,FALSE,-7.42547601894694
0.16,0.16,FALSE,-11.3358475114183
0.16,0.16,FALSE,-0.343989880271693
0.16,0.16,FALSE,-19.5733905911693
0.16,0.16,FALSE,-11.6845062203538
0.16,0.16,TRUE,6.43777306901029
0.16,0.16,FALSE,-1.74908884966135
0.16,0.16,FALSE,-47.6685786613889
0.16,0.16,FALSE,-27.0329211204407
0.16,0.16,FALSE,-17.4479733544649
0.16,0.16,TRUE,10.4368508534135
0.16,0.16,FALSE,-15.3619413827801
