"sim_id","q0_pca_share","q0_mean_ratio","q0_max_ratio","q0_top5_overlap","q0_pca_avg_rank","q0_pca_cv","q0_gini","q0_cv","reduction_diim","reduction_pca","pca_advantage","pca_wins","overlap"
1587,0.410982500744479,1.39548485830704,1.03218492607495,2,6.2,0.50267746638819,0.364594894675393,0.666851446871157,466.736811265389,475.249310962699,8.51249969730998,TRUE,4
1588,0.310860433900384,0.902169746717019,0.935341183434937,2,8.8,0.488046788673532,0.227486085353277,0.412650375987214,653.999324379576,662.323057501162,8.32373312158597,TRUE,4
1589,0.372789684093976,1.18872306350851,0.970118762649144,2,7,0.302939632702474,0.233331808800412,0.422564675197843,595.534655829142,643.874921146205,48.3402653170633,TRUE,4
1590,0.272337052497177,0.748525271024937,0.67250372578349,1,9.2,0.537155068184357,0.307713747079952,0.559012960992607,381.950864773109,334.858573151414,-47.092291621695,FALSE,4
1591,0.312263639841608,0.908091117269677,1.03812851854564,1,8.4,0.739694791009393,0.294904525821521,0.5323469942124,547.221213054872,533.489970290204,-13.7312427646684,FALSE,3
1592,0.247591083570182,0.658129052337663,0.619138655564678,1,9.8,0.560085124667312,0.318390179370946,0.591605278716072,362.354038493322,376.671789943459,14.3177514501367,TRUE,4
1593,0.231539066773585,0.602604652396468,0.924694905766534,1,10.2,0.842008759785778,0.3424796028826,0.627482993704244,624.342336092457,368.342645582088,-255.999690510369,FALSE,4
1594,0.390103128272767,1.2792429223911,1.00288007796452,2,6.4,0.421116853222344,0.292492131446916,0.535097400336791,851.250697956792,605.237500406409,-246.013197550383,FALSE,4
1595,0.378578008769432,1.21842488393356,0.998292587346074,1,7.4,0.182583306694949,0.199694753988531,0.396498248037438,591.531456698183,607.904607584656,16.373150886473,TRUE,4
1596,0.284971314491553,0.797090579069325,0.590005113191555,0,9.8,0.257039976190887,0.245210896262919,0.451787374559493,484.177866669466,466.173463792613,-18.0044028768534,FALSE,4
1597,0.280899116558054,0.781250928836416,0.87216651851243,1,9.4,0.80189466125009,0.356953310782364,0.651032209423968,344.909085111649,336.096766924267,-8.81231818738161,FALSE,4
1598,0.397007930227275,1.31679320551235,1.06715747584984,3,6.2,0.482962340844067,0.265603850276095,0.480707301027081,792.255561782971,772.554990031946,-19.7005717510256,FALSE,4
1599,0.177204944037608,0.430738961673363,0.439557007385812,0,10.8,0.638462293776108,0.350544519640218,0.638058779072907,244.29702682871,193.721541980245,-50.5754848484648,FALSE,3
1600,0.310484158821939,0.900586006237265,1.02942522376833,2,8,0.732979977731788,0.253571487924666,0.467460160577954,618.887468059394,607.141934024054,-11.7455340353408,FALSE,4
1601,0.308264108887641,0.891276895845123,0.947849995476629,2,9,0.541072320888742,0.234092489547223,0.437440816240357,375.92394384378,392.824417225849,16.9004733820693,TRUE,4
1602,0.361924945289181,1.13442750227309,1.03735816135787,3,6.8,0.378866809234465,0.177381198870044,0.337874826503942,528.981637607954,554.675240652919,25.6936030449651,TRUE,4
1603,0.276809398101068,0.765522664078407,0.841803953341008,1,9,0.780069792283798,0.345569216299211,0.625652949614975,423.954858004523,372.005340386713,-51.9495176178098,FALSE,4
1604,0.349619576018178,1.07512330668781,0.864521666395096,2,7.6,0.365875211093336,0.255629431452087,0.486281660791394,518.431897288981,511.97243167377,-6.45946561521123,FALSE,4
1605,0.389435315010944,1.27565620673893,1.12132854849727,3,6.8,0.710862688186998,0.360251030860569,0.650992471528307,632.547371744062,595.539057994174,-37.0083137498877,FALSE,4
1606,0.47744815370315,1.82737141620173,1.15040897702252,3,4.8,0.339203836143355,0.326342024213889,0.601078712058877,617.853227355707,609.937567213667,-7.91566014204,FALSE,4
1607,0.422964388133537,1.46599058857192,1.43399404631169,2,6.4,0.713536141343381,0.357566830136577,0.671758791933738,338.591854430881,361.399063866131,22.8072094352501,TRUE,4
1608,0.337245393936679,1.01770818596003,0.991337228875392,3,8,0.752891999197722,0.292330341392195,0.534308689600856,810.317045230819,778.41517237122,-31.9018728595984,FALSE,4
1609,0.446984597162682,1.61653579581823,1.12032365901355,3,6,0.632187565009011,0.38473195922976,0.706863587110969,595.865364152058,651.206272810108,55.3409086580505,TRUE,4
1610,0.289541926910556,0.815085190464444,0.994884015494699,2,9,0.790343397755025,0.311451264642236,0.566465659819749,280.944686876617,280.097194014135,-0.847492862481886,FALSE,4
1611,0.384338525180218,1.24853849363475,0.923591000013157,2,7.2,0.59633017178027,0.359200763038543,0.653978207238542,744.762405376088,676.549228226322,-68.2131771497661,FALSE,4
1612,0.26123916198475,0.707236086543499,0.5124367450905,0,9.8,0.284826484417718,0.337034558801145,0.626552865473134,271.177502571478,250.211271560092,-20.9662310113854,FALSE,4
1613,0.437398444254801,1.5549137388198,1.41023926523354,4,5,0.525447481668703,0.290265231297223,0.533253269284855,657.855841725584,659.490689545579,1.63484781999432,TRUE,4
1614,0.338568160550338,1.02374315948274,0.809894908024036,1,8.6,0.212274335990769,0.22762142664103,0.422477646235208,649.439260677158,659.200797505575,9.76153682841687,TRUE,4
