"sim_id","c_star_mean","c_star_sd","c_star_max","c_star_gini","c_star_sum","q0_mean","q0_sd","q0_max","q0_gini","q0_sum","cstar_q0_cor","c_star_pca_share","q0_pca_share","lockdown_duration","loss_base","loss_diim","loss_pca","reduction_diim","reduction_pca","pca_wins","overlap"
146,0.84558378195408,0.417098466911908,1.48748541965074,0.269474627864412,12.6837567293112,0.0124052189775562,0.0065702725320997,0.0219689678820528,0.287519227012738,0.186078284663344,-0.42550221416487,0.428074609150551,0.305704848187747,48,244326.563779272,243713.945261427,243833.915014773,612.61851784421,492.648764498765,FALSE,4
147,0.958333494188426,0.400363211729719,1.54410143746366,0.229582948747358,14.3750024128264,0.01214691891452,0.00700666666324102,0.0214699360353524,0.318017473283988,0.182203783717801,0.288497101513918,0.252446527695497,0.320492225645866,45,224247.419938071,223724.918742556,223677.972227752,522.501195515448,569.447710318811,TRUE,3
148,0.924802847277244,0.508425528304024,1.57906090245882,0.298274760280199,13.8720427091587,0.0109621867514346,0.00629853982538457,0.0214693670199412,0.312510725201877,0.164432801271519,0.125302372889757,0.237024521617552,0.385617344126346,43,209337.354764302,208814.402192594,208944.200314033,522.952571707807,393.154450269241,FALSE,3
149,0.857301506341763,0.381484460986489,1.51080690380312,0.24300287078946,12.8595225951264,0.0114213265731959,0.004767435105725,0.0219772183348187,0.22040025703015,0.171319898597938,0.225793761380634,0.361970910781074,0.348800877393483,10,51271.669757859,50691.3388089187,50764.7567086468,580.330948940289,506.913049212169,FALSE,4
150,0.750368527982943,0.474041886097604,1.57844677755371,0.344366609279787,11.2555279197441,0.0118063495573735,0.0057526864623136,0.0217304079167784,0.26094632608476,0.177095243360603,0.163052366219336,0.333464836193891,0.358380209641947,50,195644.288956769,194853.787352632,195013.524036125,790.501604136691,630.764920644142,FALSE,3
151,0.830123908196262,0.528989633596915,1.57545997476694,0.3514368180106,12.4518586229439,0.0127156373707691,0.00838452938946845,0.023576272912427,0.363988691051415,0.190734560561537,0.0392481090545873,0.299242284031845,0.177608554723886,71,269748.209067718,269439.659107803,269589.948058258,308.549959914701,158.261009460315,FALSE,4
152,0.751189190380942,0.392687591857555,1.45122542935019,0.285721786684707,11.2678378557141,0.0114467814301064,0.00424983867553555,0.0170512682169922,0.202496390131612,0.171701721451597,0.127855944010587,0.476909324333756,0.302726536713405,45,228421.079508745,227898.621045183,227974.210827757,522.458463562187,446.86868098806,FALSE,4
153,0.889025839923119,0.476763178824138,1.55518850407915,0.294932609159309,13.3353875988468,0.014340951854921,0.00632830853624456,0.0232270061705567,0.242807490930837,0.215114277823816,0.256819913135145,0.398446288163254,0.373869038775797,67,320855.275370549,320090.049685395,320170.531588376,765.22568515467,684.743782173144,FALSE,4
154,0.870369736508464,0.449760185912576,1.5631568548101,0.283040324934222,13.055546047627,0.0127310755171943,0.00591818198688785,0.0219713625309289,0.250781198249814,0.190966132757914,-0.281310137364732,0.256497143780849,0.353406564939786,76,381442.810745557,380913.435528061,381006.504981395,529.375217496534,436.305764162331,FALSE,3
155,0.823007934776535,0.393351530262193,1.53295672672374,0.255529448758637,12.345119021648,0.0124522369478543,0.00599525982177844,0.0208295050356674,0.256841218232948,0.186783554217815,-0.457903253849806,0.324302893047548,0.434757763077894,67,291587.054970796,290774.690460548,290863.776556088,812.364510248415,723.278414707689,FALSE,3
